"year" "name" "acpp" "cc" "fstprp" "fstpp" "gctr" "stpp" "pcpi" "pi" "pop" "gstpp" "cpi" "inflation_factor" "racpp" "rfstpp" "rgctr" "rstpp" "rpi" "rpcpi" "rgstpp"
"469" 1979 "Florida" 0.698 135.4 41.6 0.29 244444000 0.21 8993 85170098 9470585 0.03 72.6 0.306670721816707 2.27605685950413 0.945639669421488 797089459.834711 0.684773553719008 277724907.990744 29324.612231405 0.0978247933884298
"470" 1979 "Georgia" 0.593 131 33.7 0.2 79159343 0.12 7812 42114161 5391265 0.01 72.6 0.306670721816707 1.93367008264463 0.652165289256198 258124879.124628 0.391299173553719 137326969.951736 25473.5761983471 0.0326082644628099
"471" 1979 "Hawaii" 0.635 88.8 34.7 0.22 10652107 0.135 10579 10050552 950050 0.03 72.6 0.306670721816707 2.07062479338843 0.717381818181818 34734672.2142149 0.440211570247934 32773105.7613223 34496.2829752066 0.0978247933884298
"472" 1979 "Idaho" 0.564 117.5 30.3 0.171 9388416 0.091 7924 7390444 932636 0.02 72.6 0.306670721816707 1.83910611570248 0.55760132231405 30613995.1814876 0.29673520661157 24098955.2449587 25838.7887603306 0.0652165289256198
"473" 1979 "Illinois" 0.6 135.3 33.3 0.2 182296000 0.12 10126 115662707 11422782 0.03 72.6 0.306670721816707 1.9564958677686 0.652165289256198 594435617.85124 0.391299173553719 377156013.83405 33019.1285950413 0.0978247933884298
"474" 1979 "Indiana" 0.537 148.9 34.5 0.185 84004000 0.105 8692 47589948 5474909 0.02 72.6 0.306670721816707 1.75106380165289 0.603252892561984 273922464.793388 0.342386776859504 155182561.015537 28343.1034710744 0.0652165289256198
"475" 1979 "Iowa" 0.588 124.2 35.7 0.21 46817786 0.13 9030 26337510 2916803 0.02 72.6 0.306670721816707 1.91736595041322 0.684773553719008 152664674.745124 0.423907438016529 85882049.1371901 29445.2628099174 0.0652165289256198
"476" 1979 "Kansas" 0.583 126.4 32.6 0.19 32655500 0.11 9244 21699966 2347370 0.02 72.6 0.306670721816707 1.90106181818182 0.619557024793388 106483918.016529 0.358690909090909 70759823.0161984 30143.0796694215 0.0652165289256198
"477" 1979 "Kentucky" 0.463 214.9 23.8 0.11 22550000 0.03 7507 27351774 3643655 0.02 72.6 0.306670721816707 1.5097626446281 0.358690909090909 73531636.3636364 0.0978247933884298 89189388.0119008 24479.0241322314 0.0652165289256198
"478" 1979 "Louisiana" 0.6 140.1 31.7 0.19 61132782 0.11 7783 32215513 4139316 0.02 72.6 0.306670721816707 1.9564958677686 0.619557024793388 199343392.280331 0.358690909090909 105049196.770909 25379.012231405 0.0652165289256198
"479" 1979 "Maine" 0.59 138.5 40.7 0.24 24172000 0.16 7571 8517303 1124927 0 72.6 0.306670721816707 1.92388760330579 0.782598347107438 78820696.8595041 0.521732231404959 27773446.8733884 24687.7170247934 0
"480" 1979 "Maryland" 0.581 131.9 31 0.18 54636000 0.1 10325 43606569 4223398 0.03 72.6 0.306670721816707 1.89454016528926 0.586948760330579 178158513.719008 0.326082644628099 142193453.426777 33668.0330578512 0.0978247933884298
"481" 1979 "Massachusetts" 0.682 118.2 42.5 0.29 143272000 0.21 9500 54589962 5746188 0 72.6 0.306670721816707 2.22388363636364 0.945639669421488 467185126.61157 0.684773553719008 178008391.791074 30977.8512396694 0
"482" 1979 "Michigan" 0.603 140.9 31.5 0.19 142421000 0.11 9511 87967096 9248814 0.02 72.6 0.306670721816707 1.96627834710744 0.619557024793388 464410163.305785 0.358690909090909 286845433.039339 31013.7203305785 0.0652165289256198
"483" 1979 "Minnesota" 0.63 118.3 41.3 0.26 85350189 0.18 9298 37547231 4038150 0 72.6 0.306670721816707 2.05432066115703 0.847814876033058 278312153.486281 0.586948760330579 122435003.829422 30319.1642975207 0
